"component","requested_version","resolved_version","scope","license_policy","stage_reason","lockfile_state","verification_evidence","status","residual_gap"
"serde_core","transitive via serde and serde_json","1.0.229","runtime_transitive","MIT OR Apache-2.0","Serde core traits without derive implementation","Cargo.lock checksum 67dca2c9...2a48","cargo metadata --locked --offline; crate license files","RESOLVED_STAGE_2C5_CONTEXT_MANIFEST","release-package attribution assembly pending"
"serde_derive","transitive via serde derive feature","1.0.229","build_transitive_proc_macro","MIT OR Apache-2.0","compile-time fixed-struct Serialize and private-wire Deserialize implementations","Cargo.lock checksum e7a5d712...9348","cargo metadata --locked --offline; crate license files","RESOLVED_STAGE_2C5_CONTEXT_MANIFEST","release-package attribution assembly pending"
"proc-macro2","transitive via serde_derive","1.0.107","build_transitive_proc_macro","MIT OR Apache-2.0","procedural macro token API","Cargo.lock checksum 985e7ec9...66d9","cargo metadata --locked --offline; crate license files","RESOLVED_STAGE_2C5_CONTEXT_MANIFEST","release-package attribution assembly pending"
"quote","transitive via serde_derive","1.0.47","build_transitive_proc_macro","MIT OR Apache-2.0","procedural macro token generation","Cargo.lock checksum 1fbf4db1...9001","cargo metadata --locked --offline; crate license files","RESOLVED_STAGE_2C5_CONTEXT_MANIFEST","release-package attribution assembly pending"
"syn","transitive via serde_derive","3.0.0","build_transitive_proc_macro","MIT OR Apache-2.0","procedural macro Rust syntax parsing","Cargo.lock checksum f2fac314...f967","cargo metadata --locked --offline; crate license files","RESOLVED_STAGE_2C5_CONTEXT_MANIFEST","release-package attribution assembly pending"
"unicode-ident","transitive via proc-macro2 and syn","1.0.24","build_transitive_proc_macro","(MIT OR Apache-2.0) AND Unicode-3.0","Unicode identifier classification for procedural macros","Cargo.lock checksum e6e4313c...da75","cargo metadata --locked --offline; crate license files","RESOLVED_STAGE_2C5_CONTEXT_MANIFEST","Unicode-3.0 plus selected MIT/Apache attribution must be assembled before release"
"serde_json","=1.0.150 default-features=false features=std","1.0.150","runtime_direct","MIT OR Apache-2.0","strict fixed-struct deterministic package manifest JSON serialization and canonical readback","Cargo.lock checksum e8014e44...cfb9","crates.io registry metadata; cargo metadata --locked --offline; cargo tree --locked --offline; crate license files","RESOLVED_STAGE_2C5_CONTEXT_MANIFEST","release-package attribution assembly pending"
"itoa","transitive via serde_json","1.0.18","runtime_transitive","MIT OR Apache-2.0","deterministic JSON integer formatting","Cargo.lock checksum 8f42a60c...5682","cargo metadata --locked --offline; crate license files","RESOLVED_STAGE_2C5_CONTEXT_MANIFEST","release-package attribution assembly pending"
"memchr","transitive via serde_json","2.8.3","runtime_transitive","Unlicense OR MIT","JSON byte scanning; MIT option is policy-compatible","Cargo.lock checksum cf8baf1c...3d98","cargo metadata --locked --offline; crate license files","RESOLVED_STAGE_2C5_CONTEXT_MANIFEST","selected MIT attribution assembly pending"
"zmij","transitive via serde_json","1.0.23","runtime_transitive","MIT","serde_json numeric formatting dependency; manifest schema uses integers only","Cargo.lock checksum 29666d0a...fc1b","cargo metadata --locked --offline; crate license files","RESOLVED_STAGE_2C5_CONTEXT_MANIFEST","release-package attribution assembly pending"
"StdShardStoreR1","in_repo_R1","NOT_IMPLEMENTED","internal_runtime","project Apache-2.0 policy; no external dependency","deterministic bounded storage skeleton","not applicable","source and bounded tests pending Stage 3","PENDING_STAGE_3","implementation and recovery evidence pending"
"dev-only dependencies","none_by_default","NONE","dev","must stop and justify before addition","no helper dependency authorized","Cargo.lock unchanged at Stage 1","not applicable","LOCKED_NONE","separate approval required"
