"requirement_id","source_authority","planned_stage","requirement_summary","design_element","implementation_file_or_symbol","verification","evidence","status","residual_gap"
"ASH-NFR-DET-001","I-01 G2 and Build Week D4-D5","2-3","Deterministic bounded outputs","ordered publication admission trainer codec rank JSON serialization run-tree framing and read-only CLI comparison","src/publication.rs;src/manifest.rs;src/lib.rs deterministic trainer;src/codec.rs::MergeCandidate;EncodedTokensV1;src/demo.rs::compare_demo_runs;src/cli.rs::CommandSuccess::Compare","package/vector trainer-repeat ranked-codec canonical-JSON two-root exact 11-file parity aggregate recomputation and mismatch fixtures","governance/SOL_STAGE2C5_V3_PACKAGE_PUBLICATION_20260719.json SHA256 B36125D2...B14F65 commit 0bd850f8...ff7d9;governance/SOL_STAGE3B4_D4_WIKITEXT_DEMO_PIPELINE_20260719.json SHA256 B9F4F42C...358C21 commit 7ccf22bf...46b7ab;governance/SOL_STAGE3B4_D4_WIKITEXT_AB_PARITY_20260719.json SHA256 2A9B149A...37FCC;governance/SOL_STAGE3B5_D4_WIKITEXT_AB_COMPARATOR_20260720.json SHA256 4463C88B...D99CA commit 80055ecb...8f2f9f","COMMITTED_IMMUTABLE_EVIDENCE_REAL_WIKITEXT_V512_A_B_11_OF_11_PARITY_COMPARATOR_91_OF_91_LIVE_PASS","cross-host rebuild full-128K production-composite proof and retained-default-temp fixture rerunability fix pending"
"ASH-NFR-SAF-001","REPA artifact manifest and Build Week D4 contracts","2-3","Fail before unsafe allocation publication or decoded-document acceptance","validation-first bounded APIs and CLI file state machine","src/artifact.rs;src/publication.rs gates;src/manifest.rs admission;src/codec.rs::CodecLimits;EncodedTokensV1::parse_json;Tokenizer::decode;src/cli.rs","artifact publication admission freeze JSON binding token-range package path bounded read pre-output existing/reparse and rename-race failures","governance/SOL_STAGE2C5_V3_PACKAGE_PUBLICATION_20260719.json SHA256 B36125D2...B14F65 commit 0bd850f8...ff7d9;governance/SOL_STAGE3A_BOUNDED_MANIFEST_FREEZE_20260719.json SHA256 B5F36F26...8A6D53 commit 8322363b...e91d8;governance/SOL_STAGE3B3_BOUNDED_CODEC_20260719.json SHA256 BB96E00A...20E82EF commit 70949771...5f605","COMMITTED_CORE_FAILURE_EVIDENCE_PLUS_LOCAL_CLI_82_OF_82","handle identity Windows hardlink non-Windows rename crash durability and scale safety pending"
"ASH-NFR-RES-001","I-01 G3","3+","Bound resident corpus-dependent state","streaming and StdShardStoreR1","presegment calibration store","bounded fixture telemetry then authorized probes","pending Stage 3","PENDING_IMPLEMENTATION_BEFORE_AUTHORIZED_PROBES","bounded admission and byte-slice semantics exist; chunked streaming/spill store telemetry and scale proof remain absent"
"ASH-NFR-LIC-001","Stage 0-3 directive section 3.4","1-2","Apache-2.0 package and audited dependencies","Cargo metadata and dependency matrix","Cargo.toml;Cargo.lock;docs/DEPENDENCY_LICENSE_MATRIX.csv","metadata exact locked dependency license and transitive-closure audit","docs/DEPENDENCY_LICENSE_MATRIX.csv;governance/SOL_STAGE2C2_V3U32_HEADER_FOUNDATION_20260719.json;governance/SOL_STAGE2C5_V3_PACKAGE_PUBLICATION_20260719.json SHA256 B36125D2...B14F65 commit 0bd850f8...ff7d9","PARTIAL_PROJECT_PLUS_20_EXTERNAL_PACKAGES_COMMITTED_RECONCILED_STAGE_2C5","release attribution including Unicode-3.0 selected license texts and toolchain evidence pending"
"ASH-NFR-STD-001","Stage 0-3 directive section 3.6","1+","Evidence traceability without certification claim","standards matrix","docs/ISO_IEEE_EVIDENCE_MATRIX.csv","primary-source and claim-language review","matrix skeleton","PARTIAL_DOCUMENTED","primary sources pending"
"ASH-FR-ALIAS-002","SRS requirement baseline and preimplementation design report section 13","1","Do not claim alias spelling round-trip preservation","claim and encoded-document boundary","docs/SRS_ASHIRA_TOKENIZER_V3.md;src/token.rs::canonical_special_bytes;src/codec.rs::EncodedTokensV1;Tokenizer::decode","non-canonical opening closing aliases collapse to shared IDs canonical bytes and canonical decoded evidence","governance/SOL_STAGE2B_SPECIAL_ALIAS_POLICY_20260719.json;governance/SOL_STAGE3B3_BOUNDED_CODEC_20260719.json SHA256 BB96E00A...20E82EF commit 70949771...5f605","IMPLEMENTED_POLICY_AND_CODEC_COMMITTED_EVIDENCE_VERIFIED_STAGE3B3","raw alias spelling preservation remains explicitly unclaimed"
"ASH-FR-CAL-003","GPT-55 pair-opportunity ruling","1","Do not represent initial opportunity balance as final-vocabulary balance","claim boundary","docs/SRS_ASHIRA_TOKENIZER_V3.md;governance/ASHIRA_V3_PREIMPLEMENTATION_DESIGN_REPORT_20260624.md","document review","governance design report","IMPLEMENTED_DOC","Stage 3 calibration evidence pending"
"ASH-FR-CLI-001","Stage 0-3 directive and Build Week D4","2-3","Expose only explicit authorized encode decode demo-pipeline and read-only demo-compare commands; reject legacy unknown missing duplicate accelerator or fallback forms before work; publish bounded non-overwriting outputs only on writing commands","exact parser thin main bounded reads atomic Windows file state machine and output-only comparison summary","Cargo.toml ashira bin;src/main.rs;src/cli.rs::run_cli;parse_demo_compare;read_bounded_regular_file;publish_output_atomic","live help legacy exit 2 parser matrix exact demo-compare form A/B JSON byte round-trip malformed invalid IDs headerless limit existing-output reparse and rename-race fixtures","governance/SOL_STAGE3B4_D4_WIKITEXT_DEMO_PIPELINE_20260719.json SHA256 B9F4F42C...358C21 commit 7ccf22bf...46b7ab;governance/SOL_STAGE3B5_D4_WIKITEXT_AB_COMPARATOR_20260720.json SHA256 4463C88B...D99CA commit 80055ecb...8f2f9f","DEMO_PIPELINE_AND_COMPARATOR_COMMITTED_IMMUTABLE_EVIDENCE_91_OF_91_LIVE_PASS","portable no-replace crash durability handle-bound identity and retained-default-temp fixture rerunability fix pending"
"ASH-FR-DEMO-001","GPT55 Build Week D5 plus operator-relayed single-WikiText ruling","3","Run bounded demo-only manifest through train freeze V3 publish validation encode decode final readback and deterministic summary; compare two distinct governed runs read-only with strict validation exact 11-file parity aggregate recomputation and no false PASS","clean source demo pipeline plus self-contained fail-closed A/B validator","src/demo.rs::run_demo_pipeline;compare_demo_runs;validate_demo_run;src/cli.rs::CliCommand::DemoPipeline;CliCommand::DemoCompare;demo/demo_input.txt","exact parser dirty-source no-output existing-root preservation two-root complete-file parity same-root mismatch extra-entry strict package canonical document fixed-round-trip aggregate and live PASS fixtures","governance/SOL_STAGE3B4_D4_WIKITEXT_DEMO_PIPELINE_20260719.json SHA256 B9F4F42C...358C21 commit 7ccf22bf...46b7ab;governance/SOL_STAGE3B4_D4_WIKITEXT_AB_PARITY_20260719.json SHA256 2A9B149A...37FCC;governance/SOL_STAGE3B5_D4_WIKITEXT_AB_COMPARATOR_20260720.json SHA256 4463C88B...D99CA commit 80055ecb...8f2f9f","PIPELINE_AND_COMPARATOR_COMMITTED_IMMUTABLE_EVIDENCE_REAL_A_B_PARITY_91_OF_91_LIVE_PASS","retained-default-temp fixture rerunability binary provenance cross-host portable durability full-128K composite and license gates pending"
"ASH-FR-MAN-005","Stage 0-3 directive section 3.2 and Build Week D1","3","Reject undeclared files and require four nonzero families","exact root inventory equality and enabled-family coverage","src/manifest.rs::inventory_roots;validate_manifest_wire;admit_corpus_manifest","undeclared-file exact-root-set missing-family and zero-family-byte fixtures","governance/SOL_STAGE3A_BOUNDED_MANIFEST_FREEZE_20260719.json SHA256 B5F36F26...8A6D53 commit 8322363b...e91d8","IMPLEMENTED_COMMITTED_EVIDENCE_VERIFIED_BOUNDED_STAGE3A","final composite manifest and corpus-scale evidence pending"
"ASH-FR-MAN-006","Operator-relayed GPT-55 Build Week demo corpus ruling 2026-07-19 and Build Week D1/D5","3","Admit the sole WikiText demo member only under exact demo_wikitext_only authority without weakening production composite gates","separate typed DemoWikitextOnly admission profile and canonical bundled manifest","src/manifest.rs::ManifestAdmissionProfile;admit_demo_wikitext_manifest;demo/demo_wikitext_manifest.json","exact schema label one-entry family nonzero cross-profile bundled read-only admission and real pipeline fixtures","governance/SOL_DEMO_WIKITEXT_EXTRACTION_20260719.json;governance/SOL_STAGE3B4_D4_WIKITEXT_DEMO_PIPELINE_20260719.json SHA256 B9F4F42C...358C21 commit 7ccf22bf...46b7ab;demo/demo_wikitext_manifest.json SHA256 6879671A...A5E7A","COMMITTED_IMMUTABLE_EVIDENCE_REAL_RUNS_VERIFIED","external attribution/license and public submission packaging pending; production composite family gates remain open"
"ASH-FR-OBS-001","preimplementation design report","3","Separate deterministic-core and run-instance telemetry","telemetry schema","src/telemetry.rs","schema and repeat fixtures","pending Stage 3 transcript","PENDING","implementation absent"
"ASH-FR-PAIR-002","u32/128K directive","2","Forbid direct pair shifts outside pair module","central pair module","src/pair.rs;static source audit","operator-pattern static audit","governance/SOL_STAGE2A_TYPED_CORE_20260718.json","TESTED_STAGE_2A","repeat static gate after future source additions"
"ASH-FR-PRE-002","preimplementation design report section 8","3","Implement exact line CR whitespace trailing and special-only rules","bounded byte-exact pre-segment semantic core","src/presegment.rs::visit_presegments;is_ashira_ascii_whitespace;PresegmentStats","LF CRLF doubled-CR unterminated terminal-LF all-byte whitespace special alias non-UTF8 long-segment and consumer-failure fixtures","governance/SOL_STAGE3B2_BOUNDED_PRESEGMENTER_20260719.json SHA256 F6D68AB1...3C3A447 commit f70464f0...2c3020","IMPLEMENTED_COMMITTED_EVIDENCE_VERIFIED_BOUNDED_STAGE3B2","chunk-boundary and spill parity pending"
"ASH-NFR-AUD-001","REPA and Stage 0-3 directive","0-3","Record commands exits hashes commits changes and blockers","governance evidence package","governance records and final handoff","readback hash exact-scope verification and explicit harness residual recording","governance/SOL_STAGE3B2_BOUNDED_PRESEGMENTER_20260719.json SHA256 F6D68AB1...3C3A447 commit f70464f0...2c3020;governance/SOL_STAGE3B3_BOUNDED_CODEC_20260719.json SHA256 BB96E00A...20E82EF commit 70949771...5f605;governance/SOL_STAGE3B4_D4_WIKITEXT_DEMO_PIPELINE_20260719.json SHA256 B9F4F42C...358C21 commit 7ccf22bf...46b7ab;governance/SOL_STAGE3B5_D4_WIKITEXT_AB_COMPARATOR_20260720.json SHA256 4463C88B...D99CA commit 80055ecb...8f2f9f","IMPLEMENTED_THROUGH_STAGE3B5_COMPARATOR_EVIDENCE","retained-default-temp test-harness rerunability fix and final Build Week handoff pending"
"ASH-NFR-PORT-001","V3U32 format contract","2","Keep binary contract language-independent and explicitly little-endian","artifact contract","docs/ARTIFACT_FORMAT_V3_U32.md;src/artifact.rs::ArtifactHeaderV3;read_v3;load_tokenizer_package;src/publication.rs writer and independent literal-wire test generator","golden byte fixtures mutation reader paired canonical JSON public-v2-32K and independent empty one cross-u16 complete-file parity","governance/SOL_STAGE2C2_V3U32_HEADER_FOUNDATION_20260719.json;governance/SOL_STAGE2C4_PAIRED_ARTIFACT_LOADER_20260719.json;governance/SOL_STAGE2C5_V3_PACKAGE_PUBLICATION_20260719.json SHA256 B36125D2...B14F65 commit 0bd850f8...ff7d9","INDEPENDENT_COMPLETE_FILE_VECTORS_COMMITTED_EVIDENCE_VERIFIED_STAGE_2C5_LOCKED_BYTES_UNCHANGED","full cross-platform publication readiness unclaimed; non-Windows no-replace primitive pending"
"ASH-NFR-REG-001","V3U32 format contract","2","Read public V2U16 only through explicit compatibility mode","explicit artifact API","src/artifact.rs::load_tokenizer_package;read_v2;Tokenizer","wrong/mixed selection malformed input tracked canonical public-v2 32K reconstruction known bytes and exhaustive lookup values","governance/SOL_STAGE2C4_PAIRED_ARTIFACT_LOADER_20260719.json SHA256 AB21F89A...AA5D3","IMPLEMENTED_COMMITTED_EVIDENCE_VERIFIED_STAGE_2C4","none for explicit compatibility loading; V2 writing remains prohibited"
